HiringAgency,jobLink,jobNum,Job_ID,Num_of_Positions,Business_Title,Title_Code_No,Level,Civil_Service_Title,Title_Classification,Job_Category,Proposed_Salary_Range,Career_Level,Work_Location,Division_Work_Unit,Posted,Post_Until
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435687&PostingSeq=1&,435687,435687,1,Public Safety Radio System Support Specialist,90436,02,SUPERVISOR OF RADIO AND TELEVI,Competitive,"Technology, Data & Innovation","$ 67,581.00 - $ 82,672.00 (Annual)",Experienced (non-manager),2 Metro Tech,Public Safety IT Services,03/02/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435652&PostingSeq=1&,435652,435652,1,Public Safety Radio Operator,90411,03,RADIO AND TELEVISION OPERATOR,Competitive,"Technology, Data & Innovation","$ 47,948.00 - $ 60,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Public Safety IT Services,02/27/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435497&PostingSeq=1&,435497,435497,2,Public Safety Senior Monitoring Engineer,95712,00,IT AUTOMATION AND MONITORING E,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $110,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Public Safety IT Services,02/26/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430032&PostingSeq=1&,430032,430032,1,"Senior Director, Site Reliability Engineering",95622,00,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $180,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,01/24/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=428700&PostingSeq=1&,428700,428700,1,Senior Vulnerability Specialist,95622,00,IT SECURITY SPECIALIST,Non-Competitive,"Technology, Data & Innovation","$135,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,01/14/2020,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=423428&PostingSeq=1&,423428,423428,1,CERT Specialist,06798,00,IT SECURITY SPECIALIST,Pending Classification,"Technology, Data & Innovation","$ 75,000.00 - $150,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,11/19/2019,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=420732&PostingSeq=1&,420732,420732,1,Senior Integration Developer (Azure),95712,00,IT AUTOMATION AND MONITORING E,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $140,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Develop & Integration Services,11/15/2019,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416883&PostingSeq=1&,416883,416883,2,QA Test Automation Engineer,95712,00,IT AUTOMATION AND MONITORING E,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $110,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Develop & Integration Services,10/22/2019,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=415438&PostingSeq=1&,415438,415438,1,Database Architect,95711,00,SENIOR IT ARCHITECT,Non-Competitive,"Technology, Data & Innovation","$146,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Data Management Services,10/18/2019,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416549&PostingSeq=1&,416549,416549,1,Cyber Senior Audit Manager,06798,00,IT SECURITY SPECIALIST,Pending Classification,"Technology, Data & Innovation","$ 75,000.00 - $135,000.00 (Annual)",Experienced (non-manager),255 Greenwich Street,Citywide Cybersecurity,10/16/2019,Until Filled
DEPT OF INFO TECH & TELECOMM,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=412723&PostingSeq=1&,412723,412723,1,IT Architect,95711,00,SENIOR IT ARCHITECT,Non-Competitive,"Technology, Data & Innovation","$135,000.00 (Annual)",Experienced (non-manager),2 Metro Tech,Enterprise & Solution Arch,10/16/2019,Until Filled
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=439792&PostingSeq=1&,439792,439792,1,Inspector General,31145,M4,INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement","$120,000.00 - $144,626.00 (Annual)",Manager,180 Maiden Lane,Squad 2,04/24/2020,08/22/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=436518&PostingSeq=1&,436518,436518,1,Deputy Inspector General,31144,M1,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 63,301.00 - $ 96,820.00 (Annual)",Manager,180 Maiden Lane,Squad 6,03/10/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=437225&PostingSeq=1&,437225,437225,1,Investigative Auditor,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Finance, Accounting, & Procurement, Public Safety, Inspections, & Enforcement","$ 50,000.00 - $ 55,000.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 5,03/09/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=435571&PostingSeq=1&,435571,435571,1,Data Analyst,31143,02,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 53,956.00 - $ 60,558.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 4,02/27/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=434506&PostingSeq=1&,434506,434506,1,Investigative Auditor,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 50,000.00 - $ 54,446.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 10,02/21/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432617&PostingSeq=1&,432617,432617,1,Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 45,113.00 - $ 50,000.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Vendx,02/08/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432004&PostingSeq=1&,432004,432004,1,Facilities Assistant,12200,01,STOCK WORKER,Competitive,Building Operations & Maintenance,"$ 32,480.00 - $ 40,000.00 (Annual)",Entry-Level,180 Maiden Lane,Facilities,02/04/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430962&PostingSeq=1&,430962,430962,1,Confidential Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 45,113.00 - $ 50,000.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 3,01/30/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=431051&PostingSeq=1&,431051,431051,1,Confidential Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 45,113.00 - $ 56,500.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Vendor Integrity,01/29/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=429213&PostingSeq=1&,429213,429213,1,Investigative Attorney,31143,03,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 70,000.00 - $ 77,250.00 (Annual)",Experienced (non-manager),180 Maiden Lane,OIG NYPD,01/17/2020,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=427472&PostingSeq=1&,427472,427472,1,Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 50,000.00 - $ 55,055.00 (Annual)",Experienced (non-manager),180 Maiden Lane,OIG NYPD,01/02/2020,09/18/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=424990&PostingSeq=1&,424990,424990,1,Confidential Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement, Social Services","$ 50,000.00 - $ 55,000.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 2,12/05/2019,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=422454&PostingSeq=1&,422454,422454,1,Confidential Investigator,31143,02,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 55,000.00 - $ 59,083.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Squad 6,11/12/2019,10/27/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=406711&PostingSeq=1&,406711,406711,4,Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 45,113.00 - $ 50,000.00 (Annual)",Experienced (non-manager),80 Maiden Lane,Background Investigation,08/16/2019,09/19/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=406289&PostingSeq=1&,406289,406289,1,Deputy Inspector General of Investigations,31144,M1,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Public Safety, Inspections, & Enforcement","$100,000.00 - $130,000.00 (Annual)",Manager,80 Maiden Lane,OIG NYPD,08/15/2019,07/30/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=405824&PostingSeq=1&,405824,405824,2,Confidential Investigator,31143,02,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 52,384.00 - $ 65,000.00 (Annual)",Experienced (non-manager),180 Maiden Lane,Default,08/14/2019,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=405846&PostingSeq=1&,405846,405846,1,Deputy Inspector General,31144,M1,DEPUTY INSPECTOR GENERAL,Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 88,651.00 - $ 93,866.00 (Annual)",Manager,80 Maiden Lane,Default,08/13/2019,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=379052&PostingSeq=1&,379052,379052,1,Digital Forensic Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 43,799.00 - $ 62,809.00 (Annual)",Experienced (non-manager),80 Maiden Lane,Default,01/04/2019,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=373617&PostingSeq=1&,373617,373617,1,Investigator,31143,02,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Legal Affairs, Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 54,165.00 - $ 65,246.00 (Annual)",Experienced (non-manager),80 Maiden Lane,OIG NYPD,11/08/2018,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=364993&PostingSeq=1&,364993,364993,1,Confidential Investigator,31143,01,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Public Safety, Inspections, & Enforcement","$ 41,996.00 - $ 50,000.00 (Annual)",Entry-Level,80 Maiden Lane,Default,09/12/2018,08/31/2020
DEPARTMENT OF INVESTIGATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=356820&PostingSeq=1&,356820,356820,1,Investigator,31143,02,CONFIDENTIAL INVESTIGATOR,Non-Competitive,"Policy, Research & Analysis, Public Safety, Inspections, & Enforcement","$ 54,165.00 - $ 60,178.00 (Annual)",Experienced (non-manager),80 Maiden Lane,OIG NYPD,08/03/2018,08/31/2020
DEPT OF PARKS & RECREATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=426130&PostingSeq=1&,426130,426130,200,City Seasonal Aide/Security Guard,91406,00,CITY SEASONAL AIDE,Non-Competitive,"Public Safety, Inspections, & Enforcement",$     15.45 - $     15.45 (Hourly),Entry-Level,105 St & 5 Ave,Arsenal North Peps,12/17/2019,Until Filled
DEPARTMENT OF PROBATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=430885&PostingSeq=1&,430885,430885,1,Chief Officer Safety and Tactics Advisor,10029,M2,ADMINISTRATIVE PROBATION OFFIC,Competitive,Administration & Human Resources,"$ 64,922.00 - $173,486.00 (Annual)",Manager,"33 Beaver St, New York Ny",Intelligence Unit,01/29/2020,Until Filled
DEPARTMENT OF PROBATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416329&PostingSeq=1&,416329,416329,1,Advocate Director,30087,03,AGENCY ATTORNEY,Non-Competitive,Legal Affairs,"$ 79,620.00 - $117,541.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",MVEP/Gen'l Counsel,10/10/2019,Until Filled
DEPARTMENT OF PROBATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=416346&PostingSeq=1&,416346,416346,1,Deputy General Counsel,95005,M2,EXECUTIVE AGENCY COUNSEL,Non-Competitive,Legal Affairs,"$ 63,031.00 - $168,433.00 (Annual)",Manager,"33 Beaver St, New York Ny",Admin Executive Offices,10/10/2019,Until Filled
DEPARTMENT OF PROBATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=393321&PostingSeq=1&,393321,393321,1,Chief Information Officer,95710,00,IT PROJECT SPECIALIST,Non-Competitive,"Technology, Data & Innovation","$ 75,000.00 - $160,000.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Admin Executive Offices,05/03/2019,Until Filled
DEPARTMENT OF PROBATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=349030&PostingSeq=1&,349030,349030,1,Buyer,12158,01,PROCUREMENT ANALYST,Competitive,"Finance, Accounting, & Procurement","$ 38,534.00 - $ 65,360.00 (Annual)",Experienced (non-manager),"33 Beaver St, New York Ny",Financial Operations,06/25/2018,Until Filled
DEPARTMENT OF TRANSPORTATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438667&PostingSeq=1&,438667,438667,1,Chief Operations Officer/Deputy Commissioner,95903,M7,DEPUTY COMMISSIONER (TRANSPORT,Exempt,"Constituent Services & Community Programs, Engineering, Architecture, & Planning","$180,000.00 - $235,000.00 (Annual)",Executive,"1 Bay St., S.I.,Ny",F&Ga Admin-St George,03/20/2020,Until Filled
DEPARTMENT OF TRANSPORTATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=432425&PostingSeq=1&,432425,432425,10,Marine Oiler,91547,00,MARINE OILER(FERRY OPERATIONS),Competitive,Building Operations & Maintenance,"$ 49,705.00 - $ 57,161.00 (Annual)",Experienced (non-manager),"1 Bay St., S.I.,Ny",F&Ga Marine Oilers-St George,02/17/2020,Until Filled
DEPARTMENT OF TRANSPORTATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=412072&PostingSeq=1&,412072,412072,2,Parking Planner,22315,01,Not Listed,Not Listed,"Policy, Research & Analysis","$ 55,416.00 - $ 83,151.00 (Annual)",Experienced (non-manager),34-02 Queens Boulevard Long Is,Parking Adm-Exec,09/19/2019,Until Filled
DEPARTMENT OF TRANSPORTATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=402964&PostingSeq=1&,402964,402964,1,Highway Transportation Specialist,22315,01,Not Listed,Not Listed,"Technology, Data & Innovation, Policy, Research & Analysis","$ 55,416.00 - $ 83,151.00 (Annual)",Experienced (non-manager),34-02 Queens Boulevard Long Is,Parking Adm-Exec,07/31/2019,Until Filled
DEPARTMENT OF TRANSPORTATION,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=192756&PostingSeq=1&,192756,192756,1,Systems Administrator - Computer Software,13641,03,Not Listed,Not Listed,"Technology, Data & Innovation","$ 81,290.00 - $114,954.00 (Annual)",Experienced (non-manager),55 Water St Ny Ny,IT & Telecom,05/11/2015,Until Filled
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=441842&PostingSeq=1&,441842,441842,1,Deputy Commissioner for Youth Workforce Connect,10009,M6,ADMINISTRATIVE BUSINESS PROMOT,Competitive,"Constituent Services & Community Programs, Policy, Research & Analysis","$ 97,830.00 - $200,000.00 (Annual)",Executive,"2 Lafayette St., N.Y.",DC OF Workforce Connect,07/17/2020,07/30/2020
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440275&PostingSeq=1&,440275,440275,1,"Deputy Executive Director, CYE",95693,00,DIRECTOR OF PLANNING (CDA),Non-Competitive,"Policy, Research & Analysis, Social Services","$ 58,700.00 - $128,000.00 (Annual)",Manager,"156 William St, New York Ny",Mayor's Office,05/15/2020,Until Filled
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440057&PostingSeq=1&,440057,440057,1,NYC Census 2020 Borough Lead,10009,M1,ADMINISTRATIVE BUSINESS PROMOT,Competitive,"Constituent Services & Community Programs, Policy, Research & Analysis","$ 58,700.00 - $ 80,000.00 (Annual)",Manager,161 William St  New York N Y,Census,05/06/2020,Until Filled
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=440088&PostingSeq=1&,440088,440088,1,NYC Census 2020 Campaign Manager,10009,M2,ADMINISTRATIVE BUSINESS PROMOT,Competitive,Constituent Services & Community Programs,"$ 64,922.00 - $173,486.00 (Annual)",Manager,161 William St  New York N Y,Census,05/06/2020,Until Filled
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=438600&PostingSeq=1&,438600,438600,1,Principal Administrative Associate,10124,02,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive,"Finance, Accounting, & Procurement","$ 51,511.00 - $ 66,998.00 (Annual)",Experienced (non-manager),"2 Lafayette St., N.Y.",Procurement,03/16/2020,Until Filled
DEPT OF YOUTH & COMM DEV SRVS,https://a127-jobs.nyc.gov/psc/nycjobs/EMPLOYEE/HRMS/c/HRS_HRAM.HRS_APP_SCHJOB.GBL?Page=HRS_APP_JBPST&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=437297&PostingSeq=1&,437297,437297,1,Senior Systems Analyst,10050,M1,COMPUTER SYSTEMS MANAGER,Competitive,"Technology, Data & Innovation","$ 58,700.00 - $105,000.00 (Annual)",Manager,"2 Lafayette St., N.Y.",Information Technology,03/10/2020,Until Filled
